"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","917431.19","0.399","0.016","0.263","0.903","2.231","9.663"
"PING_MBULK","917431.19","0.418","0.016","0.263","1.087","1.871","13.591"
"SET","854700.88","0.490","0.024","0.311","1.599","3.263","7.719"
"GET","934579.44","0.374","0.032","0.303","0.847","1.479","11.111"
"INCR","877193.00","0.529","0.024","0.271","1.751","4.383","11.607"
"LPUSH","746268.62","0.657","0.024","0.327","1.935","2.567","5.311"
"RPUSH","735294.06","0.666","0.024","0.943","1.623","2.455","4.287"
"LPOP","757575.75","0.647","0.016","0.439","1.695","2.415","6.407"
"RPOP","746268.62","0.657","0.024","0.383","1.783","2.423","6.079"
"SADD","671140.94","0.730","0.024","0.991","1.791","2.463","5.551"
"HSET","641025.62","0.766","0.024","0.975","1.799","3.431","12.767"
"SPOP","704225.31","0.626","0.024","0.263","1.583","2.759","8.431"
"LPUSH (needed to benchmark LRANGE)","757575.75","0.642","0.024","0.503","1.535","2.271","4.055"
"LRANGE_100 (first 100 elements)","178253.12","2.067","0.192","1.247","6.607","10.543","19.599"
"MSET (10 keys)","167224.08","2.976","0.120","2.407","7.303","10.495","20.623"
